iteration,dual,best_dual,level,g_norm
0,1115449117.4806182,1115449117.4806182,1175106609.19,25177.694509743214
1,1096478818.547328,1115449117.4806182,1175106609.19,34958.988004683015
2,1104220960.6162963,1115449117.4806182,1175106609.19,34857.30420098312
3,1100627205.536995,1115449117.4806182,1175106609.19,49028.33957231837
4,1108974109.8374562,1115449117.4806182,1175106609.19,54809.96689368959
5,1109475483.947884,1115449117.4806182,1175106609.19,49011.70521811083
6,1109494569.5447738,1115449117.4806182,1175106609.19,54795.96166786944
7,1113353645.7775948,1115449117.4806182,1175106609.19,34656.06448771388
8,1109540877.6072404,1115449117.4806182,1175106609.19,49036.909042636755
9,1115376348.813046,1115449117.4806182,1175106609.19,34728.22719198244
10,1105689152.6967115,1115449117.4806182,1175106609.19,42392.149437930704
11,1115676136.5529675,1115676136.5529675,1175106609.19,42478.50141739898
12,1114074588.917264,1115676136.5529675,1175106609.19,36132.8070205658
13,1110587970.1342134,1115676136.5529675,1175106609.19,41298.887270894236
14,1118423862.681989,1118423862.681989,1175106609.19,31763.82982639868
15,1113483309.9196732,1118423862.681989,1175106609.19,38836.74603846823
16,1115314795.318651,1118423862.681989,1175106609.19,31775.169571774757
17,1110533817.4997976,1118423862.681989,1175106609.19,31800.417510249965
18,1122043633.7775419,1122043633.7775419,1175106609.19,3352.177653950224
19,1122004809.9244702,1122043633.7775419,1175106609.19,20068.053517933382
20,1127788055.9545,1127788055.9545,1175106609.19,10474.727033785406
21,1119207292.0569062,1127788055.9545,1175106609.19,14544.088603422251
22,1123978284.2754047,1127788055.9545,1175106609.19,14506.980819684039
23,1126476094.593596,1127788055.9545,1175106609.19,20271.75722697331
24,1131877939.4357305,1131877939.4357305,1175106609.19,10535.29257722562
25,1127788589.2367282,1131877939.4357305,1175106609.19,14538.091841926613
26,1128823300.2864947,1131877939.4357305,1175106609.19,14563.692270138039
27,1130130313.951159,1131877939.4357305,1175106609.19,14540.471026451793
28,1130912484.7753847,1131877939.4357305,1175106609.19,14477.812223439609
29,1136986437.7585902,1136986437.7585902,1175106609.19,3086.865501574252
30,1132683302.5638273,1136986437.7585902,1175106609.19,
