iteration,dual,best_dual,level,g_norm
0,1128666540.8250813,1128666540.8250813,1175106609.19,24695.464843400136
1,1105051230.189909,1128666540.8250813,1175106609.19,34687.57811326507
2,1135675681.7182336,1135675681.7182336,1175106609.19,2517.4162035231793
3,1136386976.7883282,1136386976.7883282,1175106609.19,14044.083133719689
4,1129664771.7815983,1136386976.7883282,1175106609.19,10278.70782166384
5,1123576967.5223632,1136386976.7883282,1175106609.19,14376.342045517835
6,1137813391.52358,1137813391.52358,1175106609.19,2310.688083484125
7,1136969976.8840175,1137813391.52358,1175106609.19,2244.7885310803254
8,1118720755.5032694,1137813391.52358,1175106609.19,14284.758365438034
9,1128891879.1961775,1137813391.52358,1175106609.19,2509.903423919659
10,1119358763.8667731,1137813391.52358,1175106609.19,10381.354865489935
11,1103770130.699278,1137813391.52358,1175106609.19,14371.741064370912
12,1122831607.749785,1137813391.52358,1175106609.19,2767.094312282287
13,1130616604.9423068,1137813391.52358,1175106609.19,2361.0490825244783
14,1130584677.1039383,1137813391.52358,1175106609.19,2576.6630498415193
15,1131334280.5738628,1137813391.52358,1175106609.19,2955.8506265080723
16,1142099984.2559116,1142099984.2559116,1175106609.19,14369.358591880666
17,1143158663.80534,1143158663.80534,1175106609.19,2674.7681919817896
18,1132820126.6042094,1143158663.80534,1175106609.19,14401.950802313142
19,1134910313.4305487,1143158663.80534,1175106609.19,10271.807891247776
20,1135101682.4124055,1143158663.80534,1175106609.19,2811.249782803019
21,1133045442.4056911,1143158663.80534,1175106609.19,14444.201175721924
22,1139175023.1271634,1143158663.80534,1175106609.19,10285.91184047086
23,1145549055.9046566,1145549055.9046566,1175106609.19,2398.375564432691
24,1130500020.1502788,1145549055.9046566,1175106609.19,3188.5110770845367
25,1139212239.592946,1145549055.9046566,1175106609.19,2496.6354043207016
26,1138046418.789433,1145549055.9046566,1175106609.19,2272.097734308128
27,1132304647.4391055,1145549055.9046566,1175106609.19,2359.6547870384125
28,1135447834.2584405,1145549055.9046566,1175106609.19,2724.3477471008723
29,1140897040.9519973,1145549055.9046566,1175106609.19,2283.759185478917
30,1135734992.1494787,1145549055.9046566,1175106609.19,
