iteration,g_norm
1,25177.694509743214
2,34958.988004683015
3,34857.30420098312
4,49028.33957231837
5,54809.96689368959
6,49011.70521811083
7,54795.96166786944
8,34656.06448771388
9,49036.909042636755
10,34728.22719198244
11,42392.149437930704
12,42478.50141739898
13,36132.8070205658
14,41298.887270894236
15,31763.82982639868
16,38836.74603846823
17,31775.169571774757
18,31800.417510249965
19,3352.177653950224
20,20068.053517933382
21,10474.727033785406
22,14544.088603422251
23,14506.980819684039
24,20271.75722697331
25,10535.29257722562
26,14538.091841926613
27,14563.692270138039
28,14540.471026451793
29,14477.812223439609
30,3086.865501574252
