iteration,g_norm
1,24695.464843400136
2,34687.57811326507
3,2517.4162035231793
4,14044.083133719689
5,10278.70782166384
6,14376.342045517835
7,2310.688083484125
8,2244.7885310803254
9,14284.758365438034
10,2509.903423919659
11,10381.354865489935
12,14371.741064370912
13,2767.094312282287
14,2361.0490825244783
15,2576.6630498415193
16,2955.8506265080723
17,14369.358591880666
18,2674.7681919817896
19,14401.950802313142
20,10271.807891247776
21,2811.249782803019
22,14444.201175721924
23,10285.91184047086
24,2398.375564432691
25,3188.5110770845367
26,2496.6354043207016
27,2272.097734308128
28,2359.6547870384125
29,2724.3477471008723
30,2283.759185478917
