iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,5813639119.173556,5808573494.012856,5808573494.012856,5943385747.911647,25151.248739939645
1,5745899676.282331,5740435505.231611,5808573494.012856,5943385747.911647,34724.236415710395
2,5762625844.133738,5755951790.601446,5808573494.012856,5943385747.911647,34645.13145356687
3,5760345700.274225,5753469927.945596,5808573494.012856,5943385747.911647,48809.78708291027
4,5776163076.176215,5770153696.228589,5808573494.012856,5943385747.911647,54495.8384336428
5,5765733453.661821,5759730846.972787,5808573494.012856,5943385747.911647,49002.37395842251
6,5782220697.126387,5776388183.16582,5808573494.012856,5943385747.911647,34800.3917565905
7,5778139137.797442,5771653958.63631,5808573494.012856,5943385747.911647,48878.77282165693
8,5807803207.927226,5801228133.851407,5808573494.012856,5943385747.911647,34657.650851790124
9,5765782167.9199095,5759430138.491591,5808573494.012856,5943385747.911647,48751.0847511555
10,5784278874.000697,5777820184.705237,5808573494.012856,5943385747.911647,42423.60908796798
11,5811024486.550741,5803735967.327275,5808573494.012856,5943385747.911647,48805.5611773252
12,5789177489.533849,5782263622.776833,5808573494.012856,5943385747.911647,42406.18244107436
13,5791136680.471935,5784114043.997836,5808573494.012856,5943385747.911647,34578.27213091801
14,5791440737.916586,5784480691.780093,5808573494.012856,5943385747.911647,42472.88826387231
15,5799802419.326363,5792855571.50442,5808573494.012856,5943385747.911647,48746.585103071164
16,5812999783.953739,5805278162.118347,5808573494.012856,5943385747.911647,24598.98027043143
17,5789224561.573384,5783083604.010976,5808573494.012856,5943385747.911647,34690.31733735762
18,5788530381.329863,5781762741.557006,5808573494.012856,5943385747.911647,34700.636137777954
19,5804655809.720591,5796829933.912626,5808573494.012856,5943385747.911647,34632.94612823689
20,5792453927.043719,5785143793.938818,5808573494.012856,5943385747.911647,34607.93687788052
21,5792800937.049613,5785447612.199217,5808573494.012856,5943385747.911647,34817.28333676893
22,5830954474.857912,5824082553.786593,5824082553.786593,5943385747.911647,4342.2303847316825
23,5800334166.70553,5764073199.6011915,5824082553.786593,5943385747.911647,14675.027263428097
24,5748697571.658864,5706729174.521929,5824082553.786593,5943385747.911647,20339.817687396036
25,5770666802.286602,5731775508.974557,5824082553.786593,5943385747.911647,17856.259885206626
26,5771409838.800858,5742714194.892201,5824082553.786593,5943385747.911647,24314.837918088426
27,5802456700.399307,5761643175.4971695,5824082553.786593,5943385747.911647,17526.52179289394
28,5792709425.862716,5755605038.7988825,5824082553.786593,5943385747.911647,19812.412385492644
29,5798065570.654474,5766065678.513541,5824082553.786593,5943385747.911647,22052.549023488813
30,5808913200.039021,5771032047.641415,5824082553.786593,5943385747.911647,
