iteration,g_norm
1,25151.248739939645
2,34633.91746838874
3,34686.48146204685
4,48885.205911482284
5,54526.74025897595
6,59727.75988226835
7,54617.911755367226
8,56447.67236326451
9,54619.31284663279
10,52731.76038277956
11,54679.21425607611
12,34676.622053093175
13,48988.77216754379
14,47956.70188432544
15,26443.30023646621
16,35988.93095739434
17,36104.40038366787
18,37263.37676901553
19,39811.26802246861
20,38818.71272964668
21,19833.066860408184
22,22260.678570013984
23,24143.74854313499
24,22376.628338639726
25,24191.91525170253
26,17216.493521900877
27,19727.652033158636
28,22235.872314495915
29,14188.437833067052
30,17589.577438585686
