iteration,dual_inc,dual_lb,best_dual,level,g_norm
0,8523506.528411591,8471090.398200085,8471090.398200085,9355192.633377025,2481.38761017926
1,8789141.766939992,8735462.94421282,8735462.94421282,9355192.633377025,2342.2125941710988
2,8891232.232976528,8834801.375393232,8834801.375393232,9355192.633377025,1988.6707013174812
3,8946694.904559623,8870202.570198927,8870202.570198927,9355192.633377025,1872.2748403813032
4,9002048.273692012,8937219.639217205,8937219.639217205,9355192.633377025,1527.414147806009
5,9025267.614111971,8975934.28547254,8975934.28547254,9355192.633377025,1561.2467588214313
6,9100974.449710744,9013062.791547004,9013062.791547004,9355192.633377025,1061.237151846428
7,9065617.056481007,9009660.434375653,9013062.791547004,9355192.633377025,1232.9438266364696
8,9108713.799206741,9042285.998696972,9042285.998696972,9355192.633377025,993.0961995886406
9,9073153.29514772,9015139.052269971,9042285.998696972,9355192.633377025,1356.8795840767175
10,9132633.578810899,9056719.020324579,9056719.020324579,9355192.633377025,821.0909525328597
11,9056331.354869677,8989516.367633734,9056719.020324579,9355192.633377025,1071.4000072180347
12,9106416.311215015,9030447.966928575,9056719.020324579,9355192.633377025,1172.8805560770031
13,9102419.836756445,9026289.946419278,9056719.020324579,9355192.633377025,1162.407645864481
14,9082579.160155524,9031951.480257563,9056719.020324579,9355192.633377025,1151.1987469754756
15,9113217.727832874,9033927.222811202,9056719.020324579,9355192.633377025,1066.7804621376717
16,9120296.881805541,9039156.771624653,9056719.020324579,9355192.633377025,1030.314520303332
17,9084913.81333529,9025516.960653417,9056719.020324579,9355192.633377025,1230.7932028149114
18,9108646.068133868,9042712.190781975,9056719.020324579,9355192.633377025,1134.6388082147207
19,9119667.454803774,9048372.947545163,9056719.020324579,9355192.633377025,1069.5132739187015
20,9110018.154802138,9037500.101812627,9056719.020324579,9355192.633377025,1101.0140680648205
21,9106223.162649434,9042448.73445124,9056719.020324579,9355192.633377025,1154.5325113451497
22,9109995.986617088,9039339.277448807,9056719.020324579,9355192.633377025,1137.321507834932
23,9118618.236985656,9039692.170322366,9056719.020324579,9355192.633377025,1057.672605694466
24,9078284.120746015,9023073.825276747,9056719.020324579,9355192.633377025,1224.145165175613
25,9118767.678378588,9053057.288227912,9056719.020324579,9355192.633377025,1068.371319345014
26,9109698.512964621,9038418.100516807,9056719.020324579,9355192.633377025,1093.0468139138052
27,9105718.032072702,9039001.605886769,9056719.020324579,9355192.633377025,1147.2056593312986
28,9132094.235966844,9048887.147597369,9056719.020324579,9355192.633377025,1036.4465814534517
29,9106110.368715337,9036731.839790292,9056719.020324579,9355192.633377025,1183.989385553597
30,9133764.281120155,9051537.851610921,9056719.020324579,9355192.633377025,
