iteration,g_norm
1,2481.38761017926
2,1857.6847491871267
3,1804.5616681884744
4,1546.1288741076546
5,1402.6267617464614
6,1361.2334505516894
7,1325.4990107654987
8,1397.2018421717873
9,1203.4144582370693
10,1425.3992649391066
11,1160.8870407126553
12,1384.1874533313141
13,1098.4411320248228
14,1289.778398786071
15,1233.1486362843198
16,1289.697947262997
17,1245.5133557890206
18,1150.988270186851
19,1580.1016883641453
20,949.9133253021638
21,1334.619104839408
22,1178.445846861665
23,1137.803506363747
24,1194.2016314912598
25,1255.4597747941962
26,1283.6397182938229
27,1188.0544738293813
28,1215.0553194301624
29,1209.3533182448416
30,1234.8942266539004
