name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
PP_2721_6,coal,30898,909.5,9.347078398,345.61,4.6,1035.41241,63665,318.325,24,24
PP_2727_3,coal,6669,711,10.00982873,270.18,4.6,866.8241942,49770,248.85,24,24
PP_2727_4,coal,6669,711,9.712992375,270.18,4.6,841.1189657,49770,248.85,24,24
PP_54276_TG3,coal,4169,28,18.92863428,10.64,4.6,64.55235469,1960,9.8,24,24
PP_6249_1,coal,9898,315,10.97442153,119.7,4.6,421.0435012,22050,110.25,24,24
PP_6249_2,coal,9898,315,10.86358764,119.7,4.6,416.7912599,22050,110.25,24,24
PP_6249_3,coal,9898,315,12.95471058,119.7,4.6,497.0190625,22050,110.25,24,24
PP_6249_4,coal,9898,315,15.31254511,119.7,4.6,587.4794938,22050,110.25,24,24
PP_1016_all,ngcc,7619,231.9,13.31,88.122,3.17,436.0712777,16233,231.9,6,6
PP_1016_9,ngcc,7619,73,12.3847,27.74,3.17,128.5598341,5110,73,6,6
PP_10795_GEN3,ngct,31014,19,8.79,7.22,3.17,24.6306348,1330,19,1,1
PP_2706_CT5,ngcc,28665,191.2,10.18051779,72.656,3.17,276.7927479,13384,191.2,6,6
PP_2706_CT7,ngcc,28665,191.2,10.20180861,72.656,3.17,277.3716128,13384,191.2,6,6
PP_2706_GT1,ngct,28665,211.7,14.65058599,80.446,3.17,457.4135049,14819,211.7,1,1
PP_2706_GT2,ngct,28665,211.8,8.87774897,80.484,3.17,277.3077106,14826,211.8,1,1
PP_2706_ST6,ngcc,28665,102.8,7.022,39.064,3.17,102.6480945,7196,102.8,6,6
PP_2706_ST8,ngcc,28665,102.8,7.022,39.064,3.17,102.6480945,7196,102.8,6,6
PP_2709_1,ngct,6661,195.2,7.022461832,74.176,3.17,202.1633054,13664,195.2,1,1
PP_2709_1A,ngcc,6661,221,11.69241991,83.98,3.17,367.4460893,15470,221,6,6
PP_2709_1B,ngcc,6661,221,11.8699891,83.98,3.17,373.0263802,15470,221,6,6
PP_2709_1C,ngcc,6661,221,11.59024752,83.98,3.17,364.2352189,15470,221,6,6
PP_2709_2,ngct,6661,195.2,12.1518319,74.176,3.17,349.8281033,13664,195.2,1,1
PP_2709_3,ngct,6661,195.2,14.03650347,74.176,3.17,404.0842094,13664,195.2,1,1
PP_2709_4,ngct,6661,195.2,18.01652318,74.176,3.17,518.6613989,13664,195.2,1,1
PP_2709_5,ngct,6661,198.9,7.022461832,75.582,3.17,205.9952943,13923,198.9,1,1
PP_2709_ST1,ngcc,6661,405,7.279365708,153.9,3.17,419.223398,28350,405,6,6
PP_2713_CA1,ngcc,28666,288,7.079761535,109.44,3.17,289.9399567,20160,288,6,6
PP_2713_CT004,ngct,28666,60.5,10.05826582,22.99,3.17,89.74527911,4235,60.5,1,1
PP_2713_CT005,ngct,28666,60.5,9.521436303,22.99,3.17,84.95539627,4235,60.5,1,1
PP_2713_CT1,ngcc,28666,221,7.079761535,83.98,3.17,222.4886473,15470,221,6,6
PP_2713_CT2,ngcc,28666,221,7.079761535,83.98,3.17,222.4886473,15470,221,6,6
PP_2720_CT11,ngcc,31267,185.3,11.70664028,70.414,3.17,308.464113,12971,185.3,6,6
PP_2720_CT12,ngcc,31267,185.3,11.41271849,70.414,3.17,300.7194209,12971,185.3,6,6
PP_2720_ST10,ngcc,31267,327.3,6.93533071,124.374,3.17,322.7826127,22911,327.3,6,6
PP_2723_CT8,ngcc,7014,185.3,12.05815067,70.414,3.17,317.7262359,12971,185.3,6,6
PP_2723_CT9,ngcc,7014,185.3,11.9697903,70.414,3.17,315.3979843,12971,185.3,6,6
PP_2723_ST7,ngcc,7014,327.3,7.169014213,124.374,3.17,333.6586581,22911,327.3,6,6
PP_3250_12,ngct,6707,158,22.8891042,60.04,3.17,533.3582438,11060,158,1,1
PP_3250_13,ngct,6707,158,15.24638777,60.04,3.17,355.2688884,11060,158,1,1
PP_3264_3,ngct,10239,163.2,7.192703841,62.016,3.17,173.1192899,11424,163.2,1,1
PP_3264_7,ngct,10239,54,11.97473995,20.52,3.17,95.36587098,3780,54,1,1
PP_3264_8,ngct,10239,54,15.78093839,20.52,3.17,125.6781309,3780,54,1,1
PP_3264_CT11,ngcc,10239,242.3,12.18914372,92.074,3.17,419.9751211,16961,242.3,6,6
PP_3264_CT12,ngcc,10239,242.3,12.16408733,92.074,3.17,419.111807,16961,242.3,6,6
