PP_3251_2,PP_3265_1,PP_3265_2,PP_3265_3,PP_6014_1,PP_6014_2,PP_6015_1,PP_6036_1,PP_6036_2,PP_6038_1,PP_6038_2,PP_6127_1
759.7840277,766.1693791,766.1693791,766.1693791,990.1114782,990.1114782,939.9930158,1038.711575,1038.711575,1051.812907,1051.812907,887.4428988
759.5775647,766.5853798,766.5853798,766.5853798,989.8424262,989.8424262,939.7375829,1039.275555,1039.275555,1052.384002,1052.384002,887.9247464
758.5452494,766.2733793,766.2733793,766.2733793,988.497166,988.497166,938.4604185,1038.85257,1038.85257,1051.955681,1051.955681,887.5633607
760.4034169,766.1693791,766.1693791,766.1693791,990.9186343,990.9186343,940.7593145,1038.711575,1038.711575,1051.812907,1051.812907,887.4428988
760.4034169,766.3773795,766.3773795,766.3773795,990.9186343,990.9186343,940.7593145,1038.993565,1038.993565,1052.098454,1052.098454,887.6838226
761.022806,765.8573785,765.8573785,765.8573785,991.7257904,991.7257904,941.5256131,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
759.3711016,766.2733793,766.2733793,766.2733793,989.5733742,989.5733742,939.4821501,1038.85257,1038.85257,1051.955681,1051.955681,887.5633607
760.4034169,765.7533783,765.7533783,765.7533783,990.9186343,990.9186343,940.7593145,1038.147594,1038.147594,1051.241813,1051.241813,886.9610511
760.1969538,765.9613787,765.9613787,765.9613787,990.6495823,990.6495823,940.5038816,1038.429584,1038.429584,1051.52736,1051.52736,887.2019749
760.6098799,765.9613787,765.9613787,765.9613787,991.1876864,991.1876864,941.0147474,1038.429584,1038.429584,1051.52736,1051.52736,887.2019749
761.4357321,765.7533783,765.7533783,765.7533783,992.2638945,992.2638945,942.0364789,1038.147594,1038.147594,1051.241813,1051.241813,886.9610511
761.022806,765.8573785,765.8573785,765.8573785,991.7257904,991.7257904,941.5256131,1038.288589,1038.288589,1051.384587,1051.384587,887.081513
761.6421952,765.545378,765.545378,765.545378,992.5329465,992.5329465,942.2919118,1037.865604,1037.865604,1050.956266,1050.956266,886.7201273
761.4357321,765.545378,765.545378,765.545378,992.2638945,992.2638945,942.0364789,1037.865604,1037.865604,1050.956266,1050.956266,886.7201273
762.2615843,765.545378,765.545378,765.545378,993.3401026,993.3401026,943.0582104,1037.865604,1037.865604,1050.956266,1050.956266,886.7201273
762.0551213,766.0653789,766.0653789,766.0653789,993.0710506,993.0710506,942.8027776,1038.570579,1038.570579,1051.670134,1051.670134,887.3224368
762.4680474,766.1693791,766.1693791,766.1693791,993.6091546,993.6091546,943.3136433,1038.711575,1038.711575,1051.812907,1051.812907,887.4428988
