line,reactance,limit
n_6660_n_6682,5.198028607,862.7417025
n_6678_n_6682,5.787457855,804.4743053
n_28667_n_6682,2.830885129,1281.416699
n_6967_n_6682,4.1808553,994.1413959
n_6682_n_7011,4.022579189,1019.434357
n_2415_n_6402,0.99494993,2531.180781
n_6382_n_6384,0.518118427,1201.902335
n_9876_n_18868,1.028713774,769.0573513
n_30301_n_20153,0.158510166,2598.515412
n_18303_n_18301,0.32869496,1616.330658
n_14283_n_29239,0.053799569,5250.800097
n_18285_n_23854,6.918720078,716.2011144
n_9887_n_15226,2.844684194,396.6306852
n_28703_n_28702,3.320743597,358.6231114
n_18301_n_18304,0.431736317,1353.42809
n_10013_n_23846,1.947433731,1634.750776
n_23782_n_9480,9.377025534,587.5940413
n_9874_n_17072,1.476147748,607.9375442
n_30398_n_30399,7.590210315,209.3713498
n_6131_n_2416,2.393586656,1429.324251
n_29016_n_23792,7.027544898,708.9614155
n_9842_n_9845,9.681942097,575.4799366
n_21559_n_21560,0.240239933,1982.268406
n_9851_n_23776,1.189059227,2253.898176
n_4477_n_28505,6.53367271,743.4030022
n_9956_n_30062,0.878928075,852.0181779
n_6902_n_7700,6.360066398,234.9140266
n_15826_n_31016,4.265787142,304.6723317
n_319_n_29015,1.859011692,1684.958083
n_28504_n_18302,13.5363573,462.6835768
n_9851_n_30518,1.106060073,2362.608807
n_6676_n_22544,0.118046333,10138.77732
n_23598_n_28945,4.93098108,892.8780782
n_18283_n_30400,1.048461946,759.5960422
n_7067_n_9824,0.547532604,3734.10789
n_9419_n_6664,8.266774207,637.8315196
n_9487_n_18868,2.197932771,469.1493358
n_322_n_7566,1.357829608,2067.328485
n_319_n_6894,2.269159045,1479.870417
n_14001_n_14015,1.491401197,603.8825381
n_23775_n_9848,0.276140617,5830.636171
n_20895_n_29873,1.435176146,1994.097882
n_15511_n_15512,2.516714425,429.5558017
n_9904_n_9910,1.172527934,2274.534666
n_6709_n_6711,2.949000839,387.4397053
n_14496_n_26258,0.208580666,2173.276962
n_9839_n_9840,4.356670777,967.8365628
n_26271_n_26273,0.041866033,6182.020495
n_28663_n_28673,1.29409179,2133.057162
n_26269_n_28302,0.81827133,892.6193928
n_7590_n_19223,0.078094739,13267.67984
n_14522_n_28305,0.069945247,4426.137366
n_26273_n_26276,0.026168401,8394.397614
n_6700_n_6703,1.286265052,2141.497769
n_29973_n_6897,8.549678089,624.0113175
n_20562_n_23861,0.337288829,5118.733129
n_29017_n_30068,0.464215468,4157.739712
n_2106_n_21118,0.068087956,4504.36651
n_23857_n_29979,2.087717859,1562.375487
n_10013_n_10012,2.19573573,1511.900245
n_6684_n_28470,9.633479379,3190.465898
n_23847_n_29015,2.836682334,1279.711268
n_1572_n_7041,4.685872581,923.0116083
n_6701_n_28771,1.543672735,1901.701308
n_1924_n_23766,2.430441143,1415.176984
n_8330_n_8337,8.376728978,632.3685837
n_6134_n_6177,2.594226007,1356.352833
n_9941_n_23814,0.386176207,4686.993954
n_1060_n_1061,0.474715955,4097.635654
n_6402_n_10053,4.375200289,965.1661986
