g,t,var,multiplier
PP_1016_9,24,DT_Obl,-5.5333188796905075
PP_1016_9,24,PowerGenerated,7.145186424075291
PP_1016_9,24,UT_Obl,-0.35397033560870295
PP_1016_9,24,UnitOn,37.96484818128474
PP_1016_9,48,DT_Obl,32.0
PP_1016_9,48,PowerGenerated,-4.0052447443392225
PP_1016_9,48,UT_Obl,-0.9003689735061089
PP_1016_9,48,UnitOn,-0.6943896012708624
PP_1016_all,24,DT_Obl,32.0
PP_1016_all,24,PowerGenerated,27.387863726320106
PP_1016_all,24,UT_Obl,-0.5705282413548742
PP_1016_all,24,UnitOn,30.0
PP_1016_all,48,DT_Obl,32.0
PP_1016_all,48,PowerGenerated,18.40392653937583
PP_1016_all,48,UT_Obl,-0.5705282413548742
PP_1016_all,48,UnitOn,30.0
PP_10795_GEN3,24,DT_Obl,32.0
PP_10795_GEN3,24,PowerGenerated,-93.0418681751293
PP_10795_GEN3,24,UT_Obl,-0.1694426995071474
PP_10795_GEN3,24,UnitOn,-12.61347212052136
PP_10795_GEN3,48,DT_Obl,32.0
PP_10795_GEN3,48,PowerGenerated,-200.61660367913748
PP_10795_GEN3,48,UT_Obl,0.18231506879253356
PP_10795_GEN3,48,UnitOn,-17.669287873502732
PP_2706_CT5,24,DT_Obl,-0.5205920843101994
PP_2706_CT5,24,PowerGenerated,-290.87725328502586
PP_2706_CT5,24,UT_Obl,153.64770709993059
PP_2706_CT5,24,UnitOn,33.95025039684008
PP_2706_CT5,48,DT_Obl,-3.4713184506865757
PP_2706_CT5,48,PowerGenerated,24.387917989911017
PP_2706_CT5,48,UT_Obl,193.4719480063543
PP_2706_CT5,48,UnitOn,52.030714025213236
PP_2706_CT7,24,DT_Obl,-0.5205920843101994
PP_2706_CT7,24,PowerGenerated,-290.87725328502586
PP_2706_CT7,24,UT_Obl,153.64770709993059
PP_2706_CT7,24,UnitOn,33.95025039684008
PP_2706_CT7,48,DT_Obl,-3.4713184506865757
PP_2706_CT7,48,PowerGenerated,24.387917989911017
PP_2706_CT7,48,UT_Obl,124.87449136115934
PP_2706_CT7,48,UnitOn,52.030714025213236
PP_2706_GT1,24,DT_Obl,0.07318544072863331
PP_2706_GT1,24,PowerGenerated,-325.8170215504184
PP_2706_GT1,24,UT_Obl,40.0
PP_2706_GT1,24,UnitOn,33.95025039684008
PP_2706_GT1,48,DT_Obl,-0.6643805677387941
PP_2706_GT1,48,PowerGenerated,23.2501163099588
PP_2706_GT1,48,UT_Obl,40.0
PP_2706_GT1,48,UnitOn,52.030714025213236
PP_2706_GT2,24,DT_Obl,0.07318544072863331
PP_2706_GT2,24,PowerGenerated,-325.98745944439577
PP_2706_GT2,24,UT_Obl,40.0
PP_2706_GT2,24,UnitOn,33.95025039684008
PP_2706_GT2,48,DT_Obl,-0.6643805677387941
PP_2706_GT2,48,PowerGenerated,23.244566057860737
PP_2706_GT2,48,UT_Obl,40.0
PP_2706_GT2,48,UnitOn,52.030714025213236
PP_2706_ST6,24,DT_Obl,32.0
PP_2706_ST6,24,PowerGenerated,17.26901259617327
PP_2706_ST6,24,UT_Obl,-0.03462233989487107
PP_2706_ST6,24,UnitOn,7.2704585800138775
PP_2706_ST6,48,DT_Obl,116.87449136115936
PP_2706_ST6,48,PowerGenerated,-57.417876286953636
PP_2706_ST6,48,UT_Obl,-5.256774646044488
PP_2706_ST6,48,UnitOn,13.025101727768131
PP_2706_ST8,24,DT_Obl,32.0
PP_2706_ST8,24,PowerGenerated,1.6898882668204038
PP_2706_ST8,24,UT_Obl,-0.5705282413548742
PP_2706_ST8,24,UnitOn,30.0
PP_2706_ST8,48,DT_Obl,185.4719480063543
PP_2706_ST8,48,PowerGenerated,0.05598683796428361
PP_2706_ST8,48,UT_Obl,-0.9003689735061089
PP_2706_ST8,48,UnitOn,-0.6943896012708624
PP_2707_GT1,24,DT_Obl,-0.07704617245755474
PP_2707_GT1,24,PowerGenerated,-240.45854838533066
PP_2707_GT1,24,UT_Obl,40.0
PP_2707_GT1,24,UnitOn,-5.7541892953779055
PP_2707_GT1,48,DT_Obl,-0.07704617245755474
PP_2707_GT1,48,PowerGenerated,-278.7269253178965
PP_2707_GT1,48,UT_Obl,40.0
PP_2707_GT1,48,UnitOn,-11.508832443132153
PP_2707_GT2,24,DT_Obl,-0.07704617245755474
PP_2707_GT2,24,PowerGenerated,-240.45854838533066
PP_2707_GT2,24,UT_Obl,40.0
PP_2707_GT2,24,UnitOn,-5.7541892953779055
PP_2707_GT2,48,DT_Obl,-0.07704617245755474
PP_2707_GT2,48,PowerGenerated,-278.7269253178965
PP_2707_GT2,48,UT_Obl,40.0
PP_2707_GT2,48,UnitOn,-11.508832443132153
PP_2707_GT3,24,DT_Obl,-0.07704617245755474
PP_2707_GT3,24,PowerGenerated,-240.45854838533066
PP_2707_GT3,24,UT_Obl,40.0
PP_2707_GT3,24,UnitOn,-5.7541892953779055
PP_2707_GT3,48,DT_Obl,-0.07704617245755474
PP_2707_GT3,48,PowerGenerated,-278.7269253178965
PP_2707_GT3,48,UT_Obl,40.0
PP_2707_GT3,48,UnitOn,-11.508832443132153
PP_2707_GT4,24,DT_Obl,-0.07704617245755474
PP_2707_GT4,24,PowerGenerated,-240.45854838533066
PP_2707_GT4,24,UT_Obl,40.0
PP_2707_GT4,24,UnitOn,-5.7541892953779055
PP_2707_GT4,48,DT_Obl,-0.07704617245755474
PP_2707_GT4,48,PowerGenerated,-278.7269253178965
PP_2707_GT4,48,UT_Obl,40.0
PP_2707_GT4,48,UnitOn,-11.508832443132153
PP_2709_1,24,DT_Obl,13.220708976853967
PP_2709_1,24,PowerGenerated,-1193.2833115180915
PP_2709_1,24,UT_Obl,-0.6929991993810658
PP_2709_1,24,UnitOn,10.116069299464762
PP_2709_1,48,DT_Obl,-0.5666978391722658
PP_2709_1,48,PowerGenerated,14.92141353267408
PP_2709_1,48,UT_Obl,24.129741405157343
PP_2709_1,48,UnitOn,36.160455430370575
PP_2709_1A,24,DT_Obl,-0.5205920843101994
PP_2709_1A,24,PowerGenerated,-341.667745690328
PP_2709_1A,24,UT_Obl,153.64770709993059
PP_2709_1A,24,UnitOn,33.95025039684008
PP_2709_1A,48,DT_Obl,-3.4713184506865757
PP_2709_1A,48,PowerGenerated,22.73394286490756
PP_2709_1A,48,UT_Obl,278.3464393675136
PP_2709_1A,48,UnitOn,52.030714025213236
PP_2709_1B,24,DT_Obl,-0.5205920843101994
PP_2709_1B,24,PowerGenerated,-341.667745690328
PP_2709_1B,24,UT_Obl,153.64770709993059
PP_2709_1B,24,UnitOn,33.95025039684008
PP_2709_1B,48,DT_Obl,-3.4713184506865757
PP_2709_1B,48,PowerGenerated,22.73394286490756
PP_2709_1B,48,UT_Obl,278.3464393675136
PP_2709_1B,48,UnitOn,52.030714025213236
PP_2709_1C,24,DT_Obl,-0.5205920843101994
PP_2709_1C,24,PowerGenerated,-341.667745690328
PP_2709_1C,24,UT_Obl,153.64770709993059
PP_2709_1C,24,UnitOn,33.95025039684008
PP_2709_1C,48,DT_Obl,-3.4713184506865757
PP_2709_1C,48,PowerGenerated,22.733942864907334
PP_2709_1C,48,UT_Obl,278.3464393675136
PP_2709_1C,48,UnitOn,52.030714025213236
PP_2709_2,24,DT_Obl,0.07318544072863331
PP_2709_2,24,PowerGenerated,-297.6947690441265
PP_2709_2,24,UT_Obl,40.0
PP_2709_2,24,UnitOn,33.95025039684008
PP_2709_2,48,DT_Obl,-0.6643805677387941
PP_2709_2,48,PowerGenerated,24.16590790601782
PP_2709_2,48,UT_Obl,40.0
PP_2709_2,48,UnitOn,52.030714025213236
PP_2709_3,24,DT_Obl,0.07318544072863331
PP_2709_3,24,PowerGenerated,-297.6947690441265
PP_2709_3,24,UT_Obl,40.0
PP_2709_3,24,UnitOn,33.95025039684008
PP_2709_3,48,DT_Obl,-0.6643805677387941
PP_2709_3,48,PowerGenerated,24.16590790601782
PP_2709_3,48,UT_Obl,40.0
PP_2709_3,48,UnitOn,52.030714025213236
PP_2709_4,24,DT_Obl,0.07318544072863331
PP_2709_4,24,PowerGenerated,-297.6947690441265
PP_2709_4,24,UT_Obl,40.0
PP_2709_4,24,UnitOn,33.95025039684008
PP_2709_4,48,DT_Obl,-0.6643805677387941
PP_2709_4,48,PowerGenerated,24.16590790601782
PP_2709_4,48,UT_Obl,40.0
PP_2709_4,48,UnitOn,52.030714025213236
PP_2709_5,24,DT_Obl,13.220708976853967
PP_2709_5,24,PowerGenerated,-1323.6006868662228
PP_2709_5,24,UT_Obl,-0.6929991993810658
PP_2709_5,24,UnitOn,10.116069299464762
PP_2709_5,48,DT_Obl,-0.5666978391722658
PP_2709_5,48,PowerGenerated,14.540825571971169
PP_2709_5,48,UT_Obl,24.129741405157343
PP_2709_5,48,UnitOn,36.160455430370575
PP_2709_ST1,24,DT_Obl,17.607373084736338
PP_2709_ST1,24,PowerGenerated,-29.858704822570417
PP_2709_ST1,24,UT_Obl,1.1282751336683647
PP_2709_ST1,24,UnitOn,36.85928282514346
PP_2709_ST1,48,DT_Obl,-12.171143566530432
PP_2709_ST1,48,PowerGenerated,-7.932652740984395
PP_2709_ST1,48,UT_Obl,1.0355452643846634
PP_2709_ST1,48,UnitOn,15.175868993571799
PP_2712_1,24,DT_Obl,-0.29382222032638694
PP_2712_1,24,PowerGenerated,35.0
PP_2712_1,24,UT_Obl,40.0
PP_2712_1,24,UnitOn,30.0
PP_2712_1,48,DT_Obl,-5.8984022772718205
PP_2712_1,48,PowerGenerated,-4569.719798636658
PP_2712_1,48,UT_Obl,-27.047047610349594
PP_2712_1,48,UnitOn,5.060253546483386
PP_2712_2,24,DT_Obl,-1.02722939029454
PP_2712_2,24,PowerGenerated,-8766.11732341994
PP_2712_2,24,UT_Obl,-27.047047610349594
PP_2712_2,24,UnitOn,-0.6943896012708624
PP_2712_2,48,DT_Obl,-4.092854489657302
PP_2712_2,48,PowerGenerated,2090.28994416173
PP_2712_2,48,UT_Obl,-54.941805808450596
PP_2712_2,48,UnitOn,44.82413100642821
PP_2712_3,24,DT_Obl,84.68834987512963
PP_2712_3,24,PowerGenerated,-10874.10420929216
PP_2712_3,24,UT_Obl,-0.7446834649747416
PP_2712_3,24,UnitOn,-5.7541892953779055
PP_2712_3,48,DT_Obl,-78.94979066448393
PP_2712_3,48,PowerGenerated,515.8735129416873
PP_2712_3,48,UT_Obl,3.63618637055335
PP_2712_3,48,UnitOn,40.11561544708841
PP_2712_4,24,DT_Obl,84.68834987512963
PP_2712_4,24,PowerGenerated,-10874.10420929216
PP_2712_4,24,UT_Obl,-0.7446834649747416
PP_2712_4,24,UnitOn,-5.7541892953779055
PP_2712_4,48,DT_Obl,-78.94979066448393
PP_2712_4,48,PowerGenerated,515.8735129416873
PP_2712_4,48,UT_Obl,3.63618637055335
PP_2712_4,48,UnitOn,40.11561544708841
PP_2713_CA1,24,DT_Obl,13.220708976853967
PP_2713_CA1,24,PowerGenerated,36.59433847951041
PP_2713_CA1,24,UT_Obl,-1.5227873176920506
PP_2713_CA1,24,UnitOn,6.164893223872596
PP_2713_CA1,48,DT_Obl,-3.4713184506865757
PP_2713_CA1,48,PowerGenerated,19.015273959698135
PP_2713_CA1,48,UT_Obl,40.0
PP_2713_CA1,48,UnitOn,52.030714025213236
PP_2713_CT004,24,DT_Obl,-0.03103949636739245
PP_2713_CT004,24,PowerGenerated,-186.86161213820347
PP_2713_CT004,24,UT_Obl,23.025101727768135
PP_2713_CT004,24,UnitOn,18.080917480749502
PP_2713_CT004,48,DT_Obl,-0.6643805677387941
PP_2713_CT004,48,PowerGenerated,17.932194583534123
PP_2713_CT004,48,UT_Obl,40.0
PP_2713_CT004,48,UnitOn,52.030714025213236
PP_2713_CT005,24,DT_Obl,-0.03103949636739245
PP_2713_CT005,24,PowerGenerated,-292.23082626929363
PP_2713_CT005,24,UT_Obl,23.025101727768135
PP_2713_CT005,24,UnitOn,18.080917480749502
PP_2713_CT005,48,DT_Obl,-0.6643805677387941
PP_2713_CT005,48,PowerGenerated,17.932194583534123
PP_2713_CT005,48,UT_Obl,40.0
PP_2713_CT005,48,UnitOn,52.030714025213236
PP_2713_CT1,24,DT_Obl,0.8747975621480073
PP_2713_CT1,24,PowerGenerated,-543.4605424144121
PP_2713_CT1,24,UT_Obl,20.724260401270286
PP_2713_CT1,24,UnitOn,27.090967571696627
PP_2713_CT1,48,DT_Obl,-1.674078555247605
PP_2713_CT1,48,PowerGenerated,22.73394286490756
PP_2713_CT1,48,UT_Obl,0.19042875319909047
PP_2713_CT1,48,UnitOn,52.030714025213236
PP_2713_CT2,24,DT_Obl,0.4994870156720639
PP_2713_CT2,24,PowerGenerated,-341.667745690328
PP_2713_CT2,24,UT_Obl,44.564480083474095
PP_2713_CT2,24,UnitOn,33.95025039684008
PP_2713_CT2,48,DT_Obl,6.361426151710511
PP_2713_CT2,48,PowerGenerated,-2651.7210972852668
PP_2713_CT2,48,UT_Obl,-2.0848507864425274
PP_2713_CT2,48,UnitOn,-17.669287873502732
PP_2716_GT1,24,DT_Obl,-0.07704617245755474
PP_2716_GT1,24,PowerGenerated,-290.0914526588014
PP_2716_GT1,24,UT_Obl,40.0
PP_2716_GT1,24,UnitOn,11.220708976853965
PP_2716_GT1,48,DT_Obl,-0.03121215899845453
PP_2716_GT1,48,PowerGenerated,-69.6232986691084
PP_2716_GT1,48,UT_Obl,40.0
PP_2716_GT1,48,UnitOn,35.05581575298137
PP_2716_GT2,24,DT_Obl,-0.07704617245755474
PP_2716_GT2,24,PowerGenerated,-290.0914526588014
PP_2716_GT2,24,UT_Obl,40.0
PP_2716_GT2,24,UnitOn,11.220708976853965
PP_2716_GT2,48,DT_Obl,-0.03121215899845453
PP_2716_GT2,48,PowerGenerated,-69.6232986691084
PP_2716_GT2,48,UT_Obl,40.0
PP_2716_GT2,48,UnitOn,35.05581575298137
PP_2716_GT3,24,DT_Obl,-0.07704617245755474
PP_2716_GT3,24,PowerGenerated,-307.28772597324684
PP_2716_GT3,24,UT_Obl,40.0
PP_2716_GT3,24,UnitOn,11.220708976853965
PP_2716_GT3,48,DT_Obl,-0.03121215899845453
PP_2716_GT3,48,PowerGenerated,-75.15752857351958
PP_2716_GT3,48,UT_Obl,40.0
PP_2716_GT3,48,UnitOn,35.05581575298137
PP_2716_GT4,24,DT_Obl,-0.07704617245755474
PP_2716_GT4,24,PowerGenerated,-307.28772597324684
PP_2716_GT4,24,UT_Obl,40.0
PP_2716_GT4,24,UnitOn,11.220708976853965
PP_2716_GT4,48,DT_Obl,-0.03121215899845453
PP_2716_GT4,48,PowerGenerated,-75.15752857351958
PP_2716_GT4,48,UT_Obl,40.0
PP_2716_GT4,48,UnitOn,35.05581575298137
PP_2718_1,24,DT_Obl,5.547238134362342
PP_2718_1,24,PowerGenerated,-3204.9393630921713
PP_2718_1,24,UT_Obl,-0.7446834649747416
PP_2718_1,24,UnitOn,-19.4736806244169
PP_2718_1,48,DT_Obl,-8.626806793494005
PP_2718_1,48,PowerGenerated,49.72385540196767
PP_2718_1,48,UT_Obl,24.560521444804632
PP_2718_1,48,UnitOn,37.96484818128474
PP_2718_5,24,DT_Obl,32.0
PP_2718_5,24,PowerGenerated,-7119.4244239048385
PP_2718_5,24,UT_Obl,-0.7446834649747416
PP_2718_5,24,UnitOn,-36.44857889664876
PP_2718_5,48,DT_Obl,32.0
PP_2718_5,48,PowerGenerated,-25.786647611199783
PP_2718_5,48,UT_Obl,0.8337505362105269
PP_2718_5,48,UnitOn,30.0
PP_2720_CT11,24,DT_Obl,0.8747975621480073
PP_2720_CT11,24,PowerGenerated,-838.8492395005185
PP_2720_CT11,24,UT_Obl,3.4592894993229297
PP_2720_CT11,24,UnitOn,27.090967571696627
PP_2720_CT11,48,DT_Obl,-3.4713184506865757
PP_2720_CT11,48,PowerGenerated,10.796124001940711
PP_2720_CT11,48,UT_Obl,124.87449136115934
PP_2720_CT11,48,UnitOn,52.030714025213236
PP_2720_CT12,24,DT_Obl,0.8747975621480073
PP_2720_CT12,24,PowerGenerated,-480.6031326082446
PP_2720_CT12,24,UT_Obl,3.4592894993229297
PP_2720_CT12,24,UnitOn,27.090967571696627
PP_2720_CT12,48,DT_Obl,-3.4713184506865757
PP_2720_CT12,48,PowerGenerated,24.71538286365299
PP_2720_CT12,48,UT_Obl,124.87449136115934
PP_2720_CT12,48,UnitOn,52.030714025213236
PP_2720_ST10,24,DT_Obl,21.595365642733007
PP_2720_ST10,24,PowerGenerated,123.8319066048704
PP_2720_ST10,24,UT_Obl,1.1282751336683647
PP_2720_ST10,24,UnitOn,36.85928282514346
PP_2720_ST10,48,DT_Obl,32.0
PP_2720_ST10,48,PowerGenerated,55.92803098843592
PP_2720_ST10,48,UT_Obl,-0.9003689735061089
PP_2720_ST10,48,UnitOn,-0.6943896012708624
PP_2721_5,24,DT_Obl,-1.02722939029454
PP_2721_5,24,PowerGenerated,-8283.86431939693
PP_2721_5,24,UT_Obl,-27.047047610349594
PP_2721_5,24,UnitOn,-0.6943896012708624
PP_2721_5,48,DT_Obl,-4.092854489657302
PP_2721_5,48,PowerGenerated,1677.1641439197697
PP_2721_5,48,UT_Obl,-54.941805808450596
PP_2721_5,48,UnitOn,44.82413100642821
PP_2721_6,24,DT_Obl,84.68834987512963
PP_2721_6,24,PowerGenerated,-13279.31867733658
PP_2721_6,24,UT_Obl,-0.7446834649747416
PP_2721_6,24,UnitOn,-5.7541892953779055
PP_2721_6,48,DT_Obl,-75.94684389083523
PP_2721_6,48,PowerGenerated,123.77602822784104
PP_2721_6,48,UT_Obl,3.63618637055335
PP_2721_6,48,UnitOn,15.175868993571799
PP_2723_CT8,24,DT_Obl,-0.5205920843101994
PP_2723_CT8,24,PowerGenerated,-280.8214175403521
PP_2723_CT8,24,UT_Obl,153.64770709993059
PP_2723_CT8,24,UnitOn,33.95025039684008
PP_2723_CT8,48,DT_Obl,-3.4713184506865757
PP_2723_CT8,48,PowerGenerated,24.71538286365299
PP_2723_CT8,48,UT_Obl,278.3464393675136
PP_2723_CT8,48,UnitOn,52.030714025213236
PP_2723_CT9,24,DT_Obl,-0.5205920843101994
PP_2723_CT9,24,PowerGenerated,-280.8214175403521
PP_2723_CT9,24,UT_Obl,153.64770709993059
PP_2723_CT9,24,UnitOn,33.95025039684008
PP_2723_CT9,48,DT_Obl,-3.4713184506865757
PP_2723_CT9,48,PowerGenerated,24.71538286365299
PP_2723_CT9,48,UT_Obl,124.87449136115934
PP_2723_CT9,48,UnitOn,52.030714025213236
PP_2723_ST7,24,DT_Obl,32.0
PP_2723_ST7,24,PowerGenerated,25.94733235434859
PP_2723_ST7,24,UT_Obl,-0.5705282413548742
PP_2723_ST7,24,UnitOn,30.0
PP_2723_ST7,48,DT_Obl,185.4719480063543
PP_2723_ST7,48,PowerGenerated,-12.63072293356862
PP_2723_ST7,48,UT_Obl,-0.9003689735061089
PP_2723_ST7,48,UnitOn,-0.6943896012708624
PP_2727_1,24,DT_Obl,-1.02722939029454
PP_2727_1,24,PowerGenerated,-4633.47699727831
PP_2727_1,24,UT_Obl,-27.047047610349594
PP_2727_1,24,UnitOn,-0.6943896012708624
PP_2727_1,48,DT_Obl,-4.092854489657302
PP_2727_1,48,PowerGenerated,956.568766756908
PP_2727_1,48,UT_Obl,-54.941805808450596
PP_2727_1,48,UnitOn,44.82413100642821
PP_2727_2,24,DT_Obl,-0.29382222032638694
PP_2727_2,24,PowerGenerated,35.0
PP_2727_2,24,UT_Obl,40.0
PP_2727_2,24,UnitOn,30.0
PP_2727_2,48,DT_Obl,-5.8984022772718205
PP_2727_2,48,PowerGenerated,-3871.3896052212153
PP_2727_2,48,UT_Obl,-27.047047610349594
PP_2727_2,48,UnitOn,5.060253546483386
PP_2727_3,24,DT_Obl,-0.29382222032638694
PP_2727_3,24,PowerGenerated,35.0
PP_2727_3,24,UT_Obl,40.0
PP_2727_3,24,UnitOn,30.0
PP_2727_3,48,DT_Obl,-0.29382222032638694
PP_2727_3,48,PowerGenerated,35.0
PP_2727_3,48,UT_Obl,40.0
PP_2727_3,48,UnitOn,30.0
PP_2727_4,24,DT_Obl,84.68834987512963
PP_2727_4,24,PowerGenerated,-10373.444837368124
PP_2727_4,24,UT_Obl,-0.7446834649747416
PP_2727_4,24,UnitOn,-5.7541892953779055
PP_2727_4,48,DT_Obl,-78.94979066448393
PP_2727_4,48,PowerGenerated,493.80443867624786
PP_2727_4,48,UT_Obl,3.63618637055335
PP_2727_4,48,UnitOn,40.11561544708841
PP_3250_12,24,DT_Obl,32.0
PP_3250_12,24,PowerGenerated,-1041.2092803722576
PP_3250_12,24,UT_Obl,-3.448020642822217
PP_3250_12,24,UnitOn,10.116069299464762
PP_3250_12,48,DT_Obl,32.0
PP_3250_12,48,PowerGenerated,-448.98743480124483
PP_3250_12,48,UT_Obl,0.4199653823650574
