g,t,var,multiplier
PP_1016_9,48,DT_Obl,32.0
PP_1016_9,48,PowerGenerated,22.664545496664413
PP_1016_9,48,UT_Obl,27.500507641044464
PP_1016_9,48,UnitOn,30.0
PP_1016_9,96,DT_Obl,32.0
PP_1016_9,96,PowerGenerated,24.803648610303778
PP_1016_9,96,UT_Obl,27.500507641044464
PP_1016_9,96,UnitOn,30.0
PP_1016_9,144,DT_Obl,32.0
PP_1016_9,144,PowerGenerated,17.47492164128071
PP_1016_9,144,UT_Obl,27.500507641044464
PP_1016_9,144,UnitOn,30.0
PP_1016_9,192,DT_Obl,32.0
PP_1016_9,192,PowerGenerated,24.769395154133495
PP_1016_9,192,UT_Obl,27.500507641044464
PP_1016_9,192,UnitOn,30.0
PP_1016_9,240,DT_Obl,32.0
PP_1016_9,240,PowerGenerated,24.89979577858117
PP_1016_9,240,UT_Obl,27.500507641044464
PP_1016_9,240,UnitOn,30.0
PP_1016_9,288,DT_Obl,32.0
PP_1016_9,288,PowerGenerated,22.022534060857893
PP_1016_9,288,UT_Obl,27.500507641044464
PP_1016_9,288,UnitOn,30.0
PP_1016_all,48,DT_Obl,23.81783227108242
PP_1016_all,48,PowerGenerated,-36.9234416729384
PP_1016_all,48,UT_Obl,40.905714182566335
PP_1016_all,48,UnitOn,29.317677910505676
PP_1016_all,96,DT_Obl,24.262149372526153
PP_1016_all,96,PowerGenerated,-60.716933034845376
PP_1016_all,96,UT_Obl,40.0
PP_1016_all,96,UnitOn,29.047671653703663
PP_1016_all,144,DT_Obl,22.743626640402212
PP_1016_all,144,PowerGenerated,7.517716676402388
PP_1016_all,144,UT_Obl,44.09250800002506
PP_1016_all,144,UnitOn,30.169877800133463
PP_1016_all,192,DT_Obl,21.864670749201053
PP_1016_all,192,PowerGenerated,-18.462810785914524
PP_1016_all,192,UT_Obl,40.0
PP_1016_all,192,UnitOn,29.52716737836868
PP_1016_all,240,DT_Obl,20.315970559895067
PP_1016_all,240,PowerGenerated,8.832100830489889
PP_1016_all,240,UT_Obl,40.0
PP_1016_all,240,UnitOn,29.836907416229877
PP_1016_all,288,DT_Obl,21.866920615281398
PP_1016_all,288,PowerGenerated,-18.502463325660997
PP_1016_all,288,UT_Obl,40.0
PP_1016_all,288,UnitOn,29.52671740515261
PP_10795_GEN3,48,DT_Obl,32.0
PP_10795_GEN3,48,PowerGenerated,7.481868487977438
PP_10795_GEN3,48,UT_Obl,37.91675127350742
PP_10795_GEN3,48,UnitOn,27.91675127350741
PP_10795_GEN3,96,DT_Obl,32.0
PP_10795_GEN3,96,PowerGenerated,7.481868487977438
PP_10795_GEN3,96,UT_Obl,37.91675127350742
PP_10795_GEN3,96,UnitOn,27.91675127350741
PP_10795_GEN3,144,DT_Obl,32.0
PP_10795_GEN3,144,PowerGenerated,7.481868487977438
PP_10795_GEN3,144,UT_Obl,37.91675127350742
PP_10795_GEN3,144,UnitOn,27.91675127350741
PP_10795_GEN3,192,DT_Obl,32.0
PP_10795_GEN3,192,PowerGenerated,7.481868487977438
PP_10795_GEN3,192,UT_Obl,37.91675127350742
PP_10795_GEN3,192,UnitOn,27.91675127350741
PP_10795_GEN3,240,DT_Obl,32.0
PP_10795_GEN3,240,PowerGenerated,7.481868487977438
PP_10795_GEN3,240,UT_Obl,37.91675127350742
