F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
8,4,14.77199729,0.082,14.68999729,14.85399729,1148723886,42468.49974,14.68999729,14.85399729,,1148766355,1148681418,
12,4,15.325639,0.120749,15.20489,15.446388,1155237457,125063.3188,15.446388,15.20489,,1155112394,1155362521,
8,8,16.0359801,0.056249396,15.97973071,16.0922295,1148125602,21519.98267,15.97973071,16.0922295,,1148104082,1148147122,
24,4,16.66484487,0.006035375,16.6588095,16.67088025,1153444623,252852.4835,16.67088025,16.6588095,,1153697476,1153191771,
12,8,16.85317173,0.019871521,16.83330021,16.87304325,1157698806,7355.872038,16.87304325,16.83330021,,1157691450,1157706161,
12,12,17.15837779,0.452621626,16.70575617,17.61099942,1157588647,41620.79191,17.61099942,16.70575617,,1157630268,1157547027,
16,8,17.32232106,0.007299562,17.3150215,17.32962062,1155039352,197919.629,17.3150215,17.32962062,,1154841433,1155237272,
16,4,17.33541358,0.099565292,17.23584829,17.43497887,1155613406,283352.4846,17.43497887,17.23584829,,1155896758,1155330053,
20,4,17.71733833,0.479917583,17.23742075,18.19725592,1152680341,69722.37111,18.19725592,17.23742075,,1152750063,1152610618,
20,12,17.77813356,0.268204771,17.50992879,18.04633833,1152215510,262510.0239,18.04633833,17.50992879,,1152478020,1151953000,
24,8,17.80663381,0.096825604,17.70980821,17.90345942,1153320829,281384.2067,17.70980821,17.90345942,,1153039444,1153602213,
16,12,17.91709204,0.25743975,17.65965229,18.17453179,1155048855,170972.6376,17.65965229,18.17453179,,1155219828,1154877882,
20,8,18.02706063,0.244213792,17.78284683,18.27127442,1153856325,83204.70015,18.27127442,17.78284683,,1153939530,1153773120,
12,16,18.2134205,0.099572917,18.11384758,18.31299342,1154945005,103128.3728,18.11384758,18.31299342,,1155048134,1154841877,
4,4,18.23731208,2.449766583,15.7875455,20.68707867,1160630099,38.89127231,20.68707867,15.7875455,,1160630138,1160630060,
8,12,18.25503058,0.148426709,18.10660387,18.40345729,1150234788,50488.24399,18.10660387,18.40345729,,1150285277,1150184300,
4,8,18.7769584,0.265955146,18.51100325,19.04291354,1160041351,27396.86428,18.51100325,19.04291354,,1160068748,1160013955,
8,16,18.87592431,0.113861938,18.76206237,18.98978625,1149752563,26763.92086,18.98978625,18.76206237,,1149725799,1149779327,
20,16,19.23114625,0.030690209,19.20045604,19.26183646,1152966957,892023.0812,19.26183646,19.20045604,,1153858981,1152074934,
16,16,19.26304713,0.29456175,18.96848538,19.55760887,1151797772,245002.2577,18.96848538,19.55760887,,1151552770,1152042774,
12,20,19.686986,0.096610625,19.59037538,19.78359663,1154801878,677.6577791,19.78359663,19.59037538,,1154801200,1154802555,
24,24,19.68826227,0.198268354,19.48999392,19.88653063,1153280125,12197.46977,19.48999392,19.88653063,,1153292322,1153267927,
24,12,19.83500856,0.343810979,19.49119758,20.17881954,1153059742,1036498.559,19.49119758,20.17881954,,1152023244,1154096241,
12,24,20.18443677,0.057418104,20.12701867,20.24185488,1154563604,423565.0556,20.24185488,20.12701867,,1154987169,1154140039,
8,20,20.52676323,0.008122521,20.51864071,20.53488575,1150807017,598450.5199,20.51864071,20.53488575,,1150208567,1151405468,
20,20,20.5710671,0.384299604,20.1867675,20.95536671,1154322532,313554.6107,20.95536671,20.1867675,,1154008978,1154636087,
20,24,20.70025215,0.147189396,20.55306275,20.84744154,1150995958,397660.9253,20.55306275,20.84744154,,1150598297,1151393619,
8,24,20.76055296,0.12377775,20.63677521,20.88433071,1149290565,195411.4636,20.63677521,20.88433071,,1149095154,1149485976,
24,16,20.98012081,0.301429729,20.67869108,21.28155054,1151634577,21901.99299,21.28155054,20.67869108,,1151656479,1151612675,
16,20,21.19724052,0.005174104,21.19206642,21.20241462,1153763238,48656.57355,21.19206642,21.20241462,,1153811894,1153714581,
16,24,21.19846023,0.328094312,20.87036592,21.52655454,1152785769,233414.3133,21.52655454,20.87036592,,1152552354,1153019183,
4,12,21.30013558,0.433746791,20.86638879,21.73388238,1159335589,35991.87736,21.73388238,20.86638879,,1159299597,1159371581,
24,20,22.13116452,0.268987521,21.862177,22.40015204,1155902427,164414.8149,22.40015204,21.862177,,1156066842,1155738012,
4,16,23.77122815,0.114485646,23.6567425,23.88571379,1158511283,9635.739093,23.6567425,23.88571379,,1158520919,1158501648,
4,20,25.75885415,0.058146896,25.70070725,25.81700104,1157490201,50398.90117,25.81700104,25.70070725,,1157439802,1157540599,
4,24,28.01399187,0.160094792,27.85389708,28.17408667,1156769600,19878.60769,27.85389708,28.17408667,,1156749721,1156789478,
