F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
8,12,26.3654881,0.122981392,26.19949771,26.49345025,1155350330.9028,0,26.19949771,26.49345025,26.40351633,1155350331,1155350331,1155350331
12,24,31.95141836,0.227128725,31.69046971,32.24409792,1156433021.9805,0,31.91968746,32.24409792,31.69046971,1156433022,1156433022,1156433022
8,24,29.83160435,0.142925145,29.63463004,29.96936283,1157160386.4618,0,29.63463004,29.96936283,29.89082017,1157160386,1157160386,1157160386
8,8,24.59707065,0.230346227,24.27873913,24.81613513,1159187113.6738,0,24.27873913,24.69633771,24.81613513,1159187114,1159187114,1159187114
12,12,25.51321682,0.156505964,25.39542621,25.73439337,1159328025.8242,0,25.40983088,25.73439337,25.39542621,1159328026,1159328026,1159328026
24,8,24.69909392,0.078559685,24.59004396,24.77201771,1161115242.3217,0,24.77201771,24.73522008,24.59004396,1161115242,1161115242,1161115242
12,8,26.84997807,0.140702646,26.73447525,27.04805117,1164865024.9216,0,26.76740779,26.73447525,27.04805117,1164865025,1164865025,1164865025
24,12,34.22287438,0.11614066,34.05979379,34.32134162,1175106609.1948,0,34.32134162,34.28748771,34.05979379,1175106609,1175106609,1175106609
24,24,26.77796637,0.497600751,26.38072783,27.47963725,1182647383.9936,0,26.38072783,27.47963725,26.47353404,1182647384,1182647384,1182647384
,,,,,,,,,,,,,
"Best objective 1.151628725796e+09, best bound 1.151057422574e+09, gap 0.0496%",,,,,,,,,,,,,
Monolithic UC cost with opt gap 0.001 is: 1151628725.8,,,,,,,,,,,,,
Monolithic build + solve time: 288.92,,,,,,,,,,,,,
(gridwork) Veronicas-MacBook-Pro:UC_Tdecomp veronica126$ ,,,,,,,,,,,,,
