F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,40.22097712499999,0.0,40.22097712499999,40.22097712499999,9297416.818826249,0.0,40.22097712499999,,,9297416.818826249,,
6,12,58.33585916699997,0.0,58.33585916699997,58.33585916699997,9261764.519331053,0.0,58.33585916699997,,,9261764.519331053,,
6,24,87.101399292,0.0,87.101399292,87.101399292,9333897.114564385,0.0,87.101399292,,,9333897.114564385,,
12,6,34.390591416999996,0.0,34.390591416999996,34.390591416999996,9314552.913737874,0.0,34.390591416999996,,,9314552.913737874,,
12,12,41.20493554199993,0.0,41.20493554199993,41.20493554199993,9272553.295515595,0.0,41.20493554199993,,,9272553.295515595,,
12,24,55.09423945900005,0.0,55.09423945900005,55.09423945900005,9303831.22836579,0.0,55.09423945900005,,,9303831.22836579,,
24,6,31.83934720900004,0.0,31.83934720900004,31.83934720900004,9278023.770866493,0.0,31.83934720900004,,,9278023.770866493,,
24,12,41.234404208,0.0,41.234404208,41.234404208,9241066.82358184,0.0,41.234404208,,,9241066.82358184,,
24,24,38.15195937499993,0.0,38.15195937499993,38.15195937499993,9274091.319692317,0.0,38.15195937499993,,,9274091.319692317,,
48,6,38.674435124999945,0.0,38.674435124999945,38.674435124999945,9381952.281378264,0.0,38.674435124999945,,,9381952.281378264,,
48,12,43.07551708400001,0.0,43.07551708400001,43.07551708400001,9316567.475514986,0.0,43.07551708400001,,,9316567.475514986,,
48,24,45.21542408299979,0.0,45.21542408299979,45.21542408299979,9260710.600582892,0.0,45.21542408299979,,,9260710.600582892,,
