F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,223.195211708,0.0,223.195211708,223.195211708,5965264370.219736,0.0,223.195211708,,,5965264370.219736,,
6,12,317.85300983399975,0.0,317.85300983399975,317.85300983399975,5982299936.983307,0.0,317.85300983399975,,,5982299936.983307,,
6,24,463.1881324169999,0.0,463.1881324169999,463.1881324169999,5957886549.50297,0.0,463.1881324169999,,,5957886549.50297,,
12,6,219.59415141699992,0.0,219.59415141699992,219.59415141699992,5972718074.346829,0.0,219.59415141699992,,,5972718074.346829,,
12,12,235.8439024170002,0.0,235.8439024170002,235.8439024170002,5983420267.275921,0.0,235.8439024170002,,,5983420267.275921,,
12,24,331.449801834,0.0,331.449801834,331.449801834,6035613630.704497,0.0,331.449801834,,,6035613630.704497,,
24,6,217.78988274999938,0.0,217.78988274999938,217.78988274999938,5935429535.835322,0.0,217.78988274999938,,,5935429535.835322,,
24,12,224.85982225000043,0.0,224.85982225000043,224.85982225000043,5934214842.807591,0.0,224.85982225000043,,,5934214842.807591,,
24,24,251.00468941599956,0.0,251.00468941599956,251.00468941599956,5941440772.357796,0.0,251.00468941599956,,,5941440772.357796,,
48,6,213.09480370799974,0.0,213.09480370799974,213.09480370799974,5931561669.830537,0.0,213.09480370799974,,,5931561669.830537,,
48,12,399.8406815829994,0.0,399.8406815829994,399.8406815829994,5929846142.910173,0.0,399.8406815829994,,,5929846142.910173,,
48,24,386.62933387499925,0.0,386.62933387499925,386.62933387499925,5932754220.054324,0.0,386.62933387499925,,,5932754220.054324,,
