F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,218.6553548339998,0.0,218.6553548339998,218.6553548339998,5965264370.219699,0.0,218.6553548339998,,,5965264370.219699,,
6,12,302.5256199160003,0.0,302.5256199160003,302.5256199160003,5982299936.983306,0.0,302.5256199160003,,,5982299936.983306,,
6,24,470.4047327500002,0.0,470.4047327500002,470.4047327500002,5957886549.502969,0.0,470.4047327500002,,,5957886549.502969,,
12,6,219.98976566700003,0.0,219.98976566700003,219.98976566700003,5972718074.346801,0.0,219.98976566700003,,,5972718074.346801,,
12,12,226.13700704199982,0.0,226.13700704199982,226.13700704199982,5983420267.275898,0.0,226.13700704199982,,,5983420267.275898,,
12,24,337.4018952919996,0.0,337.4018952919996,337.4018952919996,6035613630.704496,0.0,337.4018952919996,,,6035613630.704496,,
24,6,217.26700954199987,0.0,217.26700954199987,217.26700954199987,5935429535.835317,0.0,217.26700954199987,,,5935429535.835317,,
24,12,222.75591175000045,0.0,222.75591175000045,222.75591175000045,5934214842.807568,0.0,222.75591175000045,,,5934214842.807568,,
24,24,244.4245099589998,0.0,244.4245099589998,244.4245099589998,5941440772.357802,0.0,244.4245099589998,,,5941440772.357802,,
48,6,204.13028250000025,0.0,204.13028250000025,204.13028250000025,5931561669.830531,0.0,204.13028250000025,,,5931561669.830531,,
48,12,375.71144908399947,0.0,375.71144908399947,375.71144908399947,5931108929.8141365,0.0,375.71144908399947,,,5931108929.8141365,,
48,24,393.79587054199965,0.0,393.79587054199965,393.79587054199965,5932754220.05431,0.0,393.79587054199965,,,5932754220.05431,,
