F,L,avg_time,std_time,min_time,max_time,avg_ofv,std_ofv,seed1_time,seed2_time,seed3_time,seed1_ofv,seed2_ofv,seed3_ofv
6,6,35.19793670900003,0.0,35.19793670900003,35.19793670900003,1156434224.2688665,0.0,35.19793670900003,,,1156434224.2688665,,
6,12,52.72834937500011,0.0,52.72834937500011,52.72834937500011,1165290795.4745107,0.0,52.72834937500011,,,1165290795.4745107,,
6,24,98.79813345799994,0.0,98.79813345799994,98.79813345799994,1162176222.6426091,0.0,98.79813345799994,,,1162176222.6426091,,
12,6,43.290522124999825,0.0,43.290522124999825,43.290522124999825,1158031365.98562,0.0,43.290522124999825,,,1158031365.98562,,
12,12,50.59769725000001,0.0,50.59769725000001,50.59769725000001,1162880105.1501293,0.0,50.59769725000001,,,1162880105.1501293,,
12,24,80.33987324999998,0.0,80.33987324999998,80.33987324999998,1161346050.4071355,0.0,80.33987324999998,,,1161346050.4071355,,
24,6,59.88363845900017,0.0,59.88363845900017,59.88363845900017,1154298054.2341852,0.0,59.88363845900017,,,1154298054.2341852,,
24,12,47.146876625000004,0.0,47.146876625000004,47.146876625000004,1155633529.1986792,0.0,47.146876625000004,,,1155633529.1986792,,
24,24,62.58002779200001,0.0,62.58002779200001,62.58002779200001,1154103838.9680285,0.0,62.58002779200001,,,1154103838.9680285,,
48,6,65.41370562500015,0.0,65.41370562500015,65.41370562500015,1156145212.0991235,0.0,65.41370562500015,,,1156145212.0991235,,
48,12,58.98533954200002,0.0,58.98533954200002,58.98533954200002,1163646067.2574475,0.0,58.98533954200002,,,1163646067.2574475,,
48,24,95.23026075000007,0.0,95.23026075000007,95.23026075000007,1154463869.7430131,0.0,95.23026075000007,,,1154463869.7430131,,
